222: 146, 234, 290, 481, 619, 1070
333bf: 2490, 4637, 6972, 14286, 19662, 32805
333fm: 22, 27, 29, 37, 42, 51
333ft: 740336300, 840336701, 880298901, 950128200, 960224301, 980159801
333mbf: 1149, 1487, 1738, 2599, 3230, 5318
333oh: 788, 1034, 1203, 1900, 2526, 4618
333: 11757, 18261, 23869, 45453, 60900, 96300
444bf: 3020, 3769, 4283, 6132, 7659, 12128
444: 25121, 38261, 47699, 87700, 116900, 184600
555bf: 5679, 7046, 7950, 10896, 13151, 19756
555: 10369, 12639, 14112, 19111, 22358, 31321
666: 15442, 18888, 21208, 28375, 33441, 45390
777: 563, 759, 935, 1478, 1934, 3280
clock: 4500, 5933, 7056, 10770, 13748, 21880
minx: 245, 381, 486, 798, 993, 1486
pyram: 229, 337, 415, 720, 940, 1564
skewb: 816, 1168, 1486, 2598, 3440, 6009
